"Url"	"Sisu"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6F3A8A82AE295D22C2257FA000225620?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Suur kaar 54a krundi detailplaneeringu osaline kehtetuks tunnistamine Tamme pst 36 krundi osas"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2D1FCE4911CDB04C2257FC40027998F?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Riia tn 18 krundi detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G30621D26B7E829EFC2257FB6002EB418?OpenDocument"	"1. Kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Tartu linna 2015. a majandusaasta aruanne ja Tartu linna arengukava 2015. a ülesannete täitmise aruanne""   eelnõu;2. Ettekandjaks linnavolikogus määrata Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6763C2F124581D89C2257F9900496C69?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Tartu linna arengukava muutmisettepanekute ja eelarvestrateegia projekti heakskiitmine ning avalikule väljapanekule suunamine"" eelnõu;2. ettekandjateks linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G34C23D7FF8A1C7A7C2257FB8001C3F1D?OpenDocument"	"1. Kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine OÜga Erinmets äriruumi üürilepingu sõlmimiseks"" eelnõu;2. Ettekandjaks linnavolikogus määrata linnasekretär Jüri Mölder."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G2DE6259FA7E0B029C2257FB5002A57BA?OpenDocument"	"1. kiita heaks ja esitada linnavolikogule otsuse ""Loa andmine projektis ""Tartu Raatuse Kooli õppehoone rekonstrueerimine"""" eelnõu;2.  ettekandjaks volikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G8959C79246736569C2257FB90025C2A2?OpenDocument"	"1. Kiita heaks ja esitada Tartu Linnavolikogule otsuse  ""Loa andmine riigihanke korraldamiseks Tartu Jaan Poska Gümnaasiumile loodusainete labori sisustuse ostmiseks"" eelnõu;2. Ettekandjaks linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G7EE87FFA0E8B78B0C2257FB9002DC013?OpenDocument"	"1. Kiita heaks ja esitada Linnavolikogule otsuse "" Osalemine projektis ""Euroopa Kosmoseagentuuri äriinkubaatori tegevuse toetamine aastatel 2017-2021"""" eelnõu2. Ettekandjaks volikogus määrata linnapea Urmas Klaas."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G8519D066B6C63A67C2257FB8002726CE?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Küütri tn 5 krundi detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GB488D6077F3FE157C2257FB7002D25AD?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""J. Kuperjanovi tn 8 krundi detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GFB5B46ACB57D9642C2257FA30034A26B?OpenDocument"	"1. otsustati esitada linnavolikogule otsuse """"Tartu linna valimiskomisjoni moodustamine"" eelnõu;2. ettekandjaks linnavolikogus määrata linnasekretär Jüri Mölder."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G68FF5657EC8C25D6C2257FA1004884AA?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Ravila Tööstuspargis asuvate kinnistute otsustuskorras võõrandamine ja hoonestusõiguse seadmine"" eelnõu;2. ettekandjaks linnavolikogus määrata Jarno Laur"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G00F77C31D84C7CCFC2257FA3001FFE09?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Ravila Tööstuspargis asuvate kinnistute otsustuskorras võõrandamine"" eelnõu;2. ettekandjaks linnavolikogus määrata Jarno Laur"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2C09CF851AD89E3C2257F96002D9DF9?OpenDocument"	"kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Tartu linnale kuuluvate Aardla tn 31/1 ja Aardla tn 31/10 ehitiste teenindamiseks vajaliku maade munitsipaalomandisse taotlemine""  eelnõu;2. ettekandjaks linnavolikogus määrata linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G285CF93168703E9BC2257F7A004A5789?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Maa-alade Ujula tänav T91, Laseri tänav T3, Laseri tänav T29, Laseri tänav T33 ja Laseri tänav T35 munitsipaalomandisse taotlemine"" eelnõu;2. ettekandjaks linnavolikogus määrata linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G396B28F65FBF4237C2257F790032FA76?OpenDocument"	"kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Maa-alade F. R. Kreutzwaldi tn 29, Ujula tn 91, Lammi tn 15a, Laseri tn 3, Laseri tn 7, Laseri tn 31 ja Sälu tn 6 munitsipaalomandisse taotlemine"" eelnõu;2. ettekandjaks linnavolikogus määrata linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6DF69365EFEC14A3C2257F8E00284B9C?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Tartu linna ühisveevärgi ja -kanalisatsiooni arendamise kava aastateks 2016 - 2030  projekti heaks kiitmine ja avalikule väljapanekule suunamine"" eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G2E3E2B96372EEF3CC2257F8B002E76BA?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Tartu linna astumine rahvusvahelise ühenduse - UITP (International Association of Public Transport) liikmeks"" eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G00F8A077C7FF8C59C2257F8D0038B8AB?OpenDocument"	"1. esitada Tartu Linnavolikogule otsuse ""Võru tn 120 krundi detailplaneeringu algatamine"" eelnõu;2. ettekandjaks linnavolikogus määrata  abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G92FC4428D869CF49C2257F9B002C3428?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Kvissentali tee 34 krundi detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GE10A35751A6B26F1C2257F50002C6DBC?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Riia tn 18 krundi detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G0E025BF2F68757F5C2257F9B0026A13C?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Vanemuise tn 21 krundi detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G700C80CFA05BFA14C2257F9B002F7B8E?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse “Kroonuaia tn 38 // 40 krundi detailplaneeringu kehtestamine""  eelnõu.2. Ettekandjaks linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GD7E658599A3C8036C2257F800046607F?OpenDocument"	"1. kiita heaks ja esitada linnavolikogule otsuse ""Tartu linna omandis olevatele kinnisasjadele tervisekeskuste ehitamiseks hoonestusõiguse seadmine"" eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G8710B2B21DE7E6AEC2257F8500417B08?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogu otsuse ""Loa andmine Roosi tn 83 ja Roosi tn 84 kinnistute hoonestusõigusega koormamiseks"" eelnõu;2. ettekandjaks linnavolikogus määrata Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G0A9AC0A34C23FF78C2257F76004A66FE?OpenDocument"	"1. Saata linnavolikogule otsuse eelnõu ""Loa andmine riigihangete korraldamiseks"""
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9F7A943946FF1FD3C2257F72004EAD8D?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine Tartu linna tänavate teekatte märgistustööde riigihanke korraldamiseks"" eelnõu.2. ettekandjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G77C07DB00E9BD011C2257F72004DA558?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse “Loa andmine Tartu linna foorisüsteemide hooldustööde riigihanke korraldamiseks“ eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G98E1ACEAEAF3243EC2257F7E00284D0F?OpenDocument"	"1. Kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke  ""Tartu Tamme Koolile koristusteenuse ostmine"" korraldamiseks"" eelnõu.2. ettekandjaks Tartu Linnavolikogus määrata abilinnapea Tiia Teppan."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCF6EA2B7D9BB8D83C2257F7E00445663?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogu otsuse ""Loa andmine linnale kuuluvate kinnistute otsustuskorras võõrandamiseks ja linnavara omandamiseks"" eelnõu;2. ettekandjaks linnavolikogus määrata Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GD041C30B2758331AC2257F61004F3265?OpenDocument"	"1. Esitada linnavolikogule otsuse ""Tartu linna arengukava 2018 - 2025 koostamise algatamine ja keskkonnamõju strateegilise hindamise algatamata jätmine"" eelnõu2. Ettekandjaks linnavolikogus määrata abilinnapea Jarno Laur"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC45BCAD83AE48AADC2257F7F002B0C87?OpenDocument"	"1.  kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Tartu linna üldplaneeringu eskiislahenduse heakskiitmine ja eskiislahenduse ning keskkonnamõju strateegilise hindamise programmi avalikule väljapanekule suunamine ja arutelude korraldamine"" eelnõu.2. määrata ettekandjaks linnavolikogus abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDE3B1F6133724EC1C2257F850021447A?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Küütri tn 5 krundi detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GBDB82D0EBA3CF4DCC2257F840041AC89?OpenDocument"	"Esitada Tartu Linnavolikogule otsuse ""Mõisavahe tn 34b krundi detailplaneeringu algatamine"" eelnõu.2. Ettekandjaks linnavolikogus määrata  abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GFBB2F9E0052A10B6C2257F830069D797?OpenDocument"	"Esitada Tartu Linnavolikogule otsuse ""Fortuuna tn - Põik tn - Raatuse tn- Narva mnt vahelise kvartali detailplaneeringu algatamine"" eelnõu.2. Ettekandjaks linnavolikogus määrata  abilinnapea Jarno Laur."
